"","transfection","replicate","plate","-7","0","1","editing_freq","TIF","balance"
"1","T1","Rep1","Plate1",5.6,12.4,14.6,0.335,87.6,-1.38246963682241
"2","T1","Rep1","Plate2",10.2,13.8,26.5,0.474,86.2,-1.37742320747907
"3","T1","Rep1","Plate3",7.2,11.1,19.6,0.411,88.9,-1.4447848426729
"4","T1","Rep1","Plate5",6,10.9,13.8,0.331,89.1,-1.20163386116965
"5","T1","Rep1","Plate6",4.8,7.1,11.2,0.279,92.9,-1.22239242133645
"6","T1","Rep2","Plate1",13.1,10,43.1,0.684,90,-1.71812105755165
"7","T1","Rep2","Plate2",10.8,14.2,34.2,0.568,85.8,-1.66296501272243
"8","T1","Rep2","Plate3",13.9,9.4,62.7,0.788,90.6,-2.17338056007853
"9","T1","Rep2","Plate4",12.5,10.5,64.1,0.776,89.5,-2.35839626195665
"10","T1","Rep2","Plate6",15,11.6,48.3,0.727,88.4,-1.68706068833989
"11","T1","Rep3","Plate3",12.5,15.8,41.2,0.642,84.2,-1.72071624252113
"12","T1","Rep3","Plate4",12.7,10.8,41.9,0.682,89.2,-1.72212174692719
"13","T2","Rep1","Plate1",7.4,27.3,16.7,0.318,72.7,-1.1742509268451
"14","T2","Rep1","Plate2",5.8,17.2,15.5,0.333,82.8,-1.41814341014667
"15","T2","Rep1","Plate3",6.3,14.8,13.5,0.319,85.2,-1.09953567355091
"16","T2","Rep1","Plate4",10.9,34.1,27.7,0.437,65.9,-1.34555784127226
"17","T2","Rep1","Plate5",3.9,11.7,9.2,0.247,88.3,-1.23815973719476
"18","T2","Rep1","Plate6",9.1,21.7,25,0.453,78.3,-1.45798964446339
"19","T2","Rep2","Plate2",2.2,3.7,4.1,0.159,96.3,-0.898120385980786
"20","T2","Rep2","Plate4",4.8,6.5,8.9,0.272,93.5,-0.890770930245242
"21","T2","Rep2","Plate5",9.8,25.1,45.7,0.575,74.9,-2.22134051094286
"22","T2","Rep3","Plate1",11.1,25.4,45.9,0.578,74.6,-2.0479344770637
"23","T2","Rep3","Plate2",11.2,24.8,45.3,0.583,75.2,-2.01601231798863
"24","T2","Rep3","Plate3",11.3,16.5,24.8,0.477,83.5,-1.13401734797169
"25","T2","Rep3","Plate4",13,26.3,39.5,0.61,73.7,-1.60334103003601
"26","T2","Rep3","Plate5",15.6,26.1,42.4,0.658,73.9,-1.44251823570095
"27","T2","Rep3","Plate6",11.5,24.8,44.8,0.574,75.2,-1.96186487111323
