"","drug","CCD_model_p_adj","chrom_feature","CCD_synergy_score","CCD_estim_diff","global_diff","global_p_adj","drug_effect_type"
"1","ATMi",6.80417523926582e-05,"CTCF",-0.0676245131367709,-0.395832178343103,-1.86275913887926,3.82e-13,"both"
"2","ATMi",6.80417523926582e-05,"Dam",0,0,-1.86275913887926,3.82e-13,"both"
"3","ATMi",6.80417523926582e-05,"DNAse",0,0,-1.86275913887926,3.82e-13,"both"
"4","ATMi",6.80417523926582e-05,"EZH2",-0.199074787192876,-1.16146308199724,-1.86275913887926,3.82e-13,"both"
"5","ATMi",6.80417523926582e-05,"H2AFZ",-0.0876851728494168,-0.367234746405502,-1.86275913887926,3.82e-13,"both"
"6","ATMi",6.80417523926582e-05,"H3K27ac",0,0,-1.86275913887926,3.82e-13,"both"
"7","ATMi",6.80417523926582e-05,"H3K27me3",-0.210368721290822,-1.0840678545051,-1.86275913887926,3.82e-13,"both"
"8","ATMi",6.80417523926582e-05,"H3K36me3",0,0,-1.86275913887926,3.82e-13,"both"
"9","ATMi",6.80417523926582e-05,"H3K4me1",0,0,-1.86275913887926,3.82e-13,"both"
"10","ATMi",6.80417523926582e-05,"H3K4me2",0,0,-1.86275913887926,3.82e-13,"both"
"11","ATMi",6.80417523926582e-05,"H3K4me3",0,0,-1.86275913887926,3.82e-13,"both"
"12","ATMi",6.80417523926582e-05,"H3K79me2",0,0,-1.86275913887926,3.82e-13,"both"
"13","ATMi",6.80417523926582e-05,"H3K9me2",0,0,-1.86275913887926,3.82e-13,"both"
"14","ATMi",6.80417523926582e-05,"H3K9me3",0,0,-1.86275913887926,3.82e-13,"both"
"15","ATMi",6.80417523926582e-05,"H4K5acK8ac",0,0,-1.86275913887926,3.82e-13,"both"
"16","ATMi",6.80417523926582e-05,"HDAC1",0,0,-1.86275913887926,3.82e-13,"both"
"17","ATMi",6.80417523926582e-05,"HDAC2",0,0,-1.86275913887926,3.82e-13,"both"
"18","ATMi",6.80417523926582e-05,"HDAC3",0,0,-1.86275913887926,3.82e-13,"both"
"19","ATMi",6.80417523926582e-05,"late_replicating",0,0,-1.86275913887926,3.82e-13,"both"
"20","ATMi",6.80417523926582e-05,"LMNB1",-0.0356646651858894,-0.154578038797105,-1.86275913887926,3.82e-13,"both"
"21","ATMi",6.80417523926582e-05,"m5C",0,0,-1.86275913887926,3.82e-13,"both"
"22","ATMi",6.80417523926582e-05,"POL2",0,0,-1.86275913887926,3.82e-13,"both"
"23","ATMi",6.80417523926582e-05,"POL2AS2",0,0,-1.86275913887926,3.82e-13,"both"
"24","ATMi",6.80417523926582e-05,"SMC3",-0.14403941901141,-0.826615207037005,-1.86275913887926,3.82e-13,"both"
"25","ATMi",6.80417523926582e-05,"TTseq",0,0,-1.86275913887926,3.82e-13,"both"
"26","DNAPKi",0.023549898796037,"CTCF",0,0,6.21275936166456,9.9e-23,"both"
"27","DNAPKi",0.023549898796037,"Dam",0,0,6.21275936166456,9.9e-23,"both"
"28","DNAPKi",0.023549898796037,"DNAse",0,0,6.21275936166456,9.9e-23,"both"
"29","DNAPKi",0.023549898796037,"EZH2",0,0,6.21275936166456,9.9e-23,"both"
"30","DNAPKi",0.023549898796037,"H2AFZ",0,0,6.21275936166456,9.9e-23,"both"
"31","DNAPKi",0.023549898796037,"H3K27ac",0,0,6.21275936166456,9.9e-23,"both"
"32","DNAPKi",0.023549898796037,"H3K27me3",0,0,6.21275936166456,9.9e-23,"both"
"33","DNAPKi",0.023549898796037,"H3K36me3",0.11080724611947,0.478792955558179,6.21275936166456,9.9e-23,"both"
"34","DNAPKi",0.023549898796037,"H3K4me1",0.0798008752450547,0.292173550636342,6.21275936166456,9.9e-23,"both"
"35","DNAPKi",0.023549898796037,"H3K4me2",0,0,6.21275936166456,9.9e-23,"both"
"36","DNAPKi",0.023549898796037,"H3K4me3",0,0,6.21275936166456,9.9e-23,"both"
"37","DNAPKi",0.023549898796037,"H3K79me2",0,0,6.21275936166456,9.9e-23,"both"
"38","DNAPKi",0.023549898796037,"H3K9me2",0.0656739339904324,0.318344680650379,6.21275936166456,9.9e-23,"both"
"39","DNAPKi",0.023549898796037,"H3K9me3",0.0431319439572338,0.207119421815783,6.21275936166456,9.9e-23,"both"
"40","DNAPKi",0.023549898796037,"H4K5acK8ac",0,0,6.21275936166456,9.9e-23,"both"
"41","DNAPKi",0.023549898796037,"HDAC1",0.158121964049606,0.901236776086478,6.21275936166456,9.9e-23,"both"
"42","DNAPKi",0.023549898796037,"HDAC2",0.00468503984836929,0.0241452764362436,6.21275936166456,9.9e-23,"both"
"43","DNAPKi",0.023549898796037,"HDAC3",0.0347245262020521,0.196400005225434,6.21275936166456,9.9e-23,"both"
"44","DNAPKi",0.023549898796037,"late_replicating",0,0,6.21275936166456,9.9e-23,"both"
"45","DNAPKi",0.023549898796037,"LMNB1",0.0254770759779922,0.110422919111575,6.21275936166456,9.9e-23,"both"
"46","DNAPKi",0.023549898796037,"m5C",0.122014229755274,0.452340059518181,6.21275936166456,9.9e-23,"both"
"47","DNAPKi",0.023549898796037,"POL2",0.0845546608781618,0.434205713116704,6.21275936166456,9.9e-23,"both"
"48","DNAPKi",0.023549898796037,"POL2AS2",0.0408005530321264,0.193719361600464,6.21275936166456,9.9e-23,"both"
"49","DNAPKi",0.023549898796037,"SMC3",0,0,6.21275936166456,9.9e-23,"both"
"50","DNAPKi",0.023549898796037,"TTseq",0.0659825654656116,0.190599570458422,6.21275936166456,9.9e-23,"both"
