"","LBR_PLATE1_R1","LBR_PLATE2_R1","LBR_PLATE3_R1","LBR_PLATE4_R1","LBR_PLATE5_R1","LBR_PLATE6_R1","LBR_PLATE1_R2","LBR_PLATE2_R2","LBR_PLATE3_R2","LBR_PLATE4_R2","LBR_PLATE5_R2","LBR_PLATE6_R2","LBR_PLATE1_R3","LBR_PLATE2_R3","LBR_PLATE3_R3","LBR_PLATE4_R3","LBR_PLATE5_R3","LBR_PLATE6_R3"
"-10",0,0.4,0.4,0.6,1.1,0.1,0.3,0.5,0.9,0.3,0.3,0.3,0.9,0.7,1.1,0,0.4,0.9
"-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-7",4.3,0.7,0.8,1,1.6,0,0.9,0.6,1.1,0,0.2,0,0.3,1.4,0.9,0,0,1.3
"-6",1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"-5",0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0,0
"-4",0,0.1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0",65.7,82.6,81.4,79.8,71.9,91.2,82.5,85.9,80.2,88.6,87.8,91.1,86.3,79.6,81.8,91.5,90,83.3
"1",10.6,5.8,8.2,7.8,14.4,0,6,3.8,7.7,1.7,1.4,0,3.2,8.1,6.6,0,1,5.6
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1.2,0,0,0.3,0,0.3,0,0.2,0.2,0.4,0.1,0.5,0.3,0,0.1,0.3,0.2,0.1
"7",1.9,0.8,0.4,0.1,0,0.4,0.6,0.6,0.1,0.7,1,0.3,0.4,0.3,0,0.4,0.4,0
"8",0.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0.8,0.5,1,0.3,0.6,1,0.7,0.7,0.9,1.1,0.6,0.9,0.9,1,0.8,0.9,0.4
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
