"","T1_Rep1_Plate1","T1_Rep1_Plate2","T1_Rep1_Plate3","T1_Rep1_Plate4","T1_Rep1_Plate5","T1_Rep1_Plate6","T1_Rep2_Plate1","T1_Rep2_Plate2","T1_Rep2_Plate3","T1_Rep2_Plate4","T1_Rep2_Plate5","T1_Rep2_Plate6","T1_Rep3_Plate1","T1_Rep3_Plate2","T1_Rep3_Plate3","T1_Rep3_Plate4","T1_Rep3_Plate5","T1_Rep3_Plate6"
"-10",1.1,1.1,0,0,0.9,1.3,1.3,1,0.8,1.5,1.2,1,1.4,1.1,1.4,0,1.3,0.5
"-9",3,3.4,1.4,0.9,3.7,2.3,3.5,3.4,2.4,2.9,3.2,3.4,2.6,0.7,2.4,0,3.1,0.9
"-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
"-7",13.4,11.3,14.5,13.5,12.4,16,12.2,12.2,13,13.3,11.9,11.1,14.6,15,14.3,0,12,0.5
"-6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"-5",0.9,0.6,0.7,0,1.3,1.1,0.7,1,1.3,0.5,0.5,0.7,0.6,0.9,0.5,0,0.7,0.9
"-4",1.6,0.8,0,0,0.9,1,0.5,0.5,1.1,1.1,1,0.8,1,0.7,0.6,0,0.7,2.7
"-3",1.3,1.8,0,0,1.2,1.2,1.8,1.3,0.9,2.1,1.7,1.7,1.3,0.8,1.3,0,1.6,6.7
"-2",0.9,0.7,0.2,0,0.9,1,0.9,1,1.2,1.5,0.8,0.6,1.2,2.8,0.8,0,0.8,1.6
"-1",0.3,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,2
"0",9.8,13.9,10.2,11,10,11.6,10.6,12.7,15.7,10.6,12.1,10.2,15.8,19.2,15.7,92.8,13.1,0
"1",41.4,33.1,60.1,62.8,37,48.2,35.4,37,40.3,40.7,34,32.4,45.1,51.5,46.1,0,34.3,0.7
"2",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1
"3",0.8,0.8,0,0,0.8,0.1,0.6,0.5,0.6,0.7,1,0.9,0.3,0,0.2,0,0.6,0.2
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.7
"5",0.2,0.3,0.4,0,0.4,0.1,0,0.2,0,0.4,0.1,0.3,0,0,0,0,0.3,1
"6",0,0.1,0,0,0,0,0.2,0.1,0,0,0.4,0.2,0,0,0,0,0.2,0.8
"7",1.4,1.1,0,0,1.2,0.7,1.4,1.3,1.3,1.3,1.4,1.4,0.6,0.1,1.1,0.1,1.3,0
"8",1.6,1.4,0.3,0,0.9,1.2,1.1,0.9,1.4,2.1,1.2,1.3,1.2,0.4,1.6,0,1,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0
"10",1.1,1.2,0.3,0.5,1.3,0.8,1.4,1.2,0.8,1,1.3,1.2,0.7,0,1,0,1.4,0
